OBJECTNUMMER;Modaliteit;Lijn;Lijn_select;RADIUS;COORDS;LNG;LAT;
137;"Tram";"26";"26";3;"POINT(4.990808,52.357582)";"4,990808";"52,357582";
138;"Tram";"26";"26";3;"POINT(4.995221,52.355235)";"4,995221";"52,355235";
139;"Tram";"26";"26";3;"POINT(4.999639,52.352884)";"4,999639";"52,352884";
140;"Tram";"3";"03";3;"POINT(4.885238,52.388065)";"4,885238";"52,388065";
141;"Tram";"3 | 7";"03|07";3;"POINT(4.917039,52.358587)";"4,917039";"52,358587";
142;"Tram";"3 | 10";"03|10";3;"POINT(4.878622,52.378392)";"4,878622";"52,378392";
143;"Tram";"4 | 12";"04|12";3;"POINT(4.904904,52.346243)";"4,904904";"52,346243";
144;"Tram";"3";"03";3;"POINT(4.909557,52.357321)";"4,909557";"52,357321";
145;"Tram";"4";"04";3;"POINT(4.903208,52.351686)";"4,903208";"52,351686";
146;"Tram";"12";"12";3;"POINT(4.910977,52.347094)";"4,910977";"52,347094";
147;"Tram";"3 | 7";"03|07";3;"POINT(4.932955,52.360936)";"4,932955";"52,360936";
148;"Tram";"3";"03";3;"POINT(4.872747,52.374656)";"4,872747";"52,374656";
149;"Tram";"3";"03";3;"POINT(4.87534,52.37854)";"4,87534";"52,37854";
150;"Tram";"4";"04";3;"POINT(4.904192,52.349066)";"4,904192";"52,349066";
151;"Tram";"3";"03";3;"POINT(4.913601,52.358354)";"4,913601";"52,358354";
152;"Tram";"3 | 4";"03|04";3;"POINT(4.901242,52.354821)";"4,901242";"52,354821";
153;"Tram";"3";"03";3;"POINT(4.89458,52.353253)";"4,89458";"52,353253";
154;"Tram";"4";"04";3;"POINT(4.898295,52.363837)";"4,898295";"52,363837";
155;"Tram";"4";"04";3;"POINT(4.898982,52.36212)";"4,898982";"52,36212";
156;"Tram";"4 | 7 | 10";"04|07|10";3;"POINT(4.898755,52.359522)";"4,898755";"52,359522";
157;"Tram";"4";"04";3;"POINT(4.899201,52.358278)";"4,899201";"52,358278";
158;"Metro";"5 | 50 | 51";"05|50|51";5;"POINT(4.873143,52.340163)";"4,873143";"52,340163";
159;"Metro";"5 | 51";"05|51";5;"POINT(4.868836,52.331428)";"4,868836";"52,331428";
160;"Tram";"5";"05";3;"POINT(4.868695,52.338101)";"4,868695";"52,338101";
161;"Metro";"5 | 51";"05|51";5;"POINT(4.869148,52.321629)";"4,869148";"52,321629";
162;"Tram";"24";"24";3;"POINT(4.856891,52.343956)";"4,856891";"52,343956";
163;"Metro";"5 | 51";"05|51";5;"POINT(4.870285,52.316563)";"4,870285";"52,316563";
164;"Metro";"5 | 51";"05|51";5;"POINT(4.872227,52.31237)";"4,872227";"52,31237";
165;"Metro";"5 | 51";"05|51";5;"POINT(4.872507,52.308282)";"4,872507";"52,308282";
166;"Metro";"5 | 51";"05|51";5;"POINT(4.871971,52.303252)";"4,871971";"52,303252";
167;"Metro";"51";"51";5;"POINT(4.86994,52.300085)";"4,86994";"52,300085";
168;"Metro";"51";"51";5;"POINT(4.867638,52.296346)";"4,867638";"52,296346";
169;"Metro";"1 | 17 | 50";"01|17|50";5;"POINT(4.834372,52.357892)";"4,834372";"52,357892";
170;"Metro";"50";"50";5;"POINT(4.850829,52.39518)";"4,850829";"52,39518";
171;"Metro";"50 | 54";"50|54";5;"POINT(4.989226,52.296345)";"4,989226";"52,296345";
172;"Metro";"50 | 51";"50|51";5;"POINT(4.917801,52.331752)";"4,917801";"52,331752";
173;"Metro";"50 | 54";"50|54";5;"POINT(4.974163,52.295617)";"4,974163";"52,295617";
174;"Metro";"12 | 50";"12|50";5;"POINT(4.838884,52.388601)";"4,838884";"52,388601";
175;"Metro";"13 | 50";"13|50";5;"POINT(4.835497,52.373125)";"4,835497";"52,373125";
176;"Metro";"7 | 14 | 50";"07|14|50";5;"POINT(4.837879,52.378835)";"4,837879";"52,378835";
177;"Metro";"50";"50";5;"POINT(4.83448,52.346541)";"4,83448";"52,346541";
178;"Metro";"2 | 50";"02|50";5;"POINT(4.834333,52.351503)";"4,834333";"52,351503";
179;"Metro";"50";"50";5;"POINT(4.833948,52.364864)";"4,833948";"52,364864";
180;"Metro";"24 | 50";"24|50";5;"POINT(4.85727,52.338392)";"4,85727";"52,338392";
181;"Metro";"4 | 50 | 51";"04|50|51";5;"POINT(4.890723,52.337004)";"4,890723";"52,337004";
182;"Metro";"50 | 54";"50|54";5;"POINT(4.941467,52.318422)";"4,941467";"52,318422";
